""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","9"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
8.98299,0.17966,0.75916,5.964
9.01228,0.18025,0.76141,5.965
9.04220,0.18084,0.76363,5.960
9.07170,0.18143,0.76588,5.960
9.10196,0.18204,0.76817,5.963
9.13216,0.18264,0.77040,5.971
9.16237,0.18325,0.77270,5.965
9.19257,0.18385,0.77498,5.968
9.22269,0.18445,0.77727,5.967
9.25292,0.18506,0.77958,5.959
9.28287,0.18566,0.78188,5.959
9.31343,0.18627,0.78425,5.970
9.34383,0.18688,0.78652,5.968
9.37437,0.18749,0.78880,5.971
9.40519,0.18810,0.79109,5.970
9.43613,0.18872,0.79338,5.963
9.46643,0.18933,0.79574,5.958
9.49718,0.18994,0.79800,5.959
9.52744,0.19055,0.80033,5.963
9.55825,0.19117,0.80267,5.962
9.58896,0.19178,0.80499,5.965
9.61970,0.19239,0.80736,5.962
9.65136,0.19303,0.80967,5.957
9.68244,0.19365,0.81199,5.958
9.71337,0.19427,0.81430,5.959
9.74456,0.19489,0.81669,5.963
9.77544,0.19551,0.81909,5.964
9.80665,0.19613,0.82144,5.962
9.83775,0.19676,0.82375,5.960
9.86902,0.19738,0.82610,5.949
9.90035,0.19801,0.82846,5.958
9.93181,0.19864,0.83085,5.953
9.96306,0.19926,0.83320,5.961
9.99436,0.19989,0.83563,5.965
10.02535,0.20051,0.83799,5.962
10.05678,0.20114,0.84037,5.955
10.08848,0.20177,0.84271,5.953
10.11971,0.20239,0.84511,5.952
10.15133,0.20303,0.84757,5.960
10.18309,0.20366,0.84999,5.953
10.21500,0.20430,0.85232,5.968
10.24633,0.20493,0.85472,5.956
10.27814,0.20556,0.85710,5.963
10.30953,0.20619,0.85949,5.953
10.34123,0.20682,0.86188,5.944
10.37281,0.20746,0.86431,5.954
10.40416,0.20808,0.86665,5.952
10.43614,0.20872,0.86907,5.950
10.46761,0.20935,0.87146,5.947
10.49920,0.20998,0.87391,5.952
10.53094,0.21062,0.87624,5.950
10.56199,0.21124,0.87867,5.943
