""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","4"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
1.46718,0.02934,0.22135,4.539
1.48599,0.02972,0.22413,4.553
1.50455,0.03009,0.22691,4.567
1.52342,0.03047,0.22984,4.576
1.54242,0.03085,0.23260,4.593
1.56159,0.03123,0.23539,4.603
1.58060,0.03161,0.23827,4.611
1.59927,0.03199,0.24115,4.622
1.61905,0.03238,0.24390,4.634
1.63802,0.03276,0.24663,4.650
1.65719,0.03314,0.24966,4.644
1.67636,0.03353,0.25251,4.663
1.69550,0.03391,0.25534,4.677
1.71505,0.03430,0.25828,4.686
1.73426,0.03469,0.26126,4.692
1.75373,0.03507,0.26414,4.706
1.77348,0.03547,0.26700,4.718
1.79309,0.03586,0.27004,4.717
1.81242,0.03625,0.27311,4.735
1.83293,0.03666,0.27598,4.754
1.85322,0.03706,0.27885,4.757
1.87263,0.03745,0.28196,4.758
1.89242,0.03785,0.28492,4.789
1.91285,0.03826,0.28779,4.786
1.93317,0.03866,0.29074,4.791
1.95247,0.03905,0.29386,4.799
1.97297,0.03946,0.29677,4.820
1.99372,0.03987,0.29975,4.826
2.01395,0.04028,0.30285,4.835
2.03422,0.04068,0.30596,4.855
2.05455,0.04109,0.30896,4.856
2.07525,0.04151,0.31196,4.862
2.09608,0.04192,0.31505,4.870
2.11650,0.04233,0.31821,4.883
2.13721,0.04274,0.32117,4.887
2.15789,0.04316,0.32424,4.888
2.17827,0.04357,0.32737,4.915
2.19951,0.04399,0.33040,4.917
2.21992,0.04440,0.33349,4.921
2.24115,0.04482,0.33656,4.931
2.26181,0.04524,0.33976,4.955
2.28300,0.04566,0.34281,4.953
2.30410,0.04608,0.34592,4.961
2.32507,0.04650,0.34901,4.965
2.34649,0.04693,0.35210,4.980
2.36799,0.04736,0.35524,4.980
2.38928,0.04779,0.35838,4.997
2.41054,0.04821,0.36148,5.008
2.43202,0.04864,0.36466,5.012
2.45361,0.04907,0.36774,5.011
2.47484,0.04950,0.37099,5.027
2.49667,0.04993,0.37424,5.044
2.51850,0.05037,0.37731,5.050
2.53981,0.05080,0.38049,5.045
2.56170,0.05123,0.38370,5.067
2.58395,0.05168,0.38685,5.074
2.60638,0.05213,0.39002,5.073
2.62908,0.05258,0.39332,5.083
2.65135,0.05303,0.39661,5.096
2.67417,0.05348,0.39987,5.103
2.69730,0.05395,0.40321,5.113
2.72039,0.05441,0.40654,5.130
2.74298,0.05486,0.40997,5.135
2.76645,0.05533,0.41328,5.135
2.78989,0.05580,0.41673,5.139
2.81302,0.05626,0.42015,5.168
2.83725,0.05674,0.42359,5.159
2.86132,0.05723,0.42696,5.157
2.88521,0.05770,0.43044,5.180
2.90944,0.05819,0.43388,5.192
2.93294,0.05866,0.43729,5.192
2.95750,0.05915,0.44071,5.217
2.98176,0.05964,0.44420,5.219
3.00558,0.06011,0.44770,5.209
3.03019,0.06060,0.45105,5.213
3.05429,0.06109,0.45456,5.228
3.07887,0.06158,0.45807,5.256
3.10354,0.06207,0.46145,5.243
3.12816,0.06256,0.46496,5.245
3.15287,0.06306,0.46837,5.256
3.17737,0.06355,0.47189,5.265
3.20169,0.06403,0.47541,5.269
3.22660,0.06453,0.47898,5.285
3.25064,0.06501,0.48246,5.285
3.27585,0.06552,0.48590,5.289
3.30049,0.06601,0.48938,5.297
3.32546,0.06651,0.49289,5.320
3.35003,0.06700,0.49642,5.321
3.37543,0.06751,0.49988,5.294
3.40031,0.06801,0.50346,5.316
3.42546,0.06851,0.50697,5.333
3.45042,0.06901,0.51045,5.335
3.47577,0.06952,0.51393,5.351
3.50089,0.07002,0.51746,5.341
3.52584,0.07052,0.52099,5.359
3.55108,0.07102,0.52451,5.361
3.57615,0.07152,0.52805,5.366
3.60161,0.07203,0.53160,5.381
3.62725,0.07255,0.53517,5.365
3.65318,0.07306,0.53866,5.380
3.67868,0.07357,0.54225,5.419
3.70389,0.07408,0.54585,5.409
3.72946,0.07459,0.54935,5.402
3.75534,0.07511,0.55287,5.403
3.77997,0.07560,0.55645,5.420
3.80601,0.07612,0.56004,5.429
3.83161,0.07663,0.56359,5.420
3.85745,0.07715,0.56720,5.432
3.88325,0.07766,0.57084,5.448
3.90929,0.07819,0.57432,5.440
3.93530,0.07871,0.57792,5.445
3.96104,0.07922,0.58153,5.469
3.98705,0.07974,0.58510,5.470
4.01337,0.08027,0.58869,5.451
4.03905,0.08078,0.59227,5.463
4.06514,0.08130,0.59591,5.478
4.09122,0.08182,0.59955,5.480
4.11756,0.08235,0.60312,5.483
4.14379,0.08288,0.60677,5.493
4.17043,0.08341,0.61042,5.506
4.19672,0.08393,0.61404,5.495
4.22292,0.08446,0.61768,5.501
4.24936,0.08499,0.62132,5.519
4.27591,0.08552,0.62486,5.509
4.30209,0.08604,0.62854,5.517
4.32870,0.08657,0.63221,5.529
4.35493,0.08710,0.63589,5.532
4.38180,0.08764,0.63951,5.535
4.40854,0.08817,0.64323,5.540
4.43537,0.08871,0.64694,5.535
4.46185,0.08924,0.65053,5.546
4.48841,0.08977,0.65415,5.548
4.51526,0.09031,0.65782,5.558
4.54167,0.09083,0.66142,5.565
4.56854,0.09137,0.66492,5.563
4.59554,0.09191,0.66848,5.596
4.62232,0.09245,0.67210,5.569
4.64940,0.09299,0.67567,5.579
4.67634,0.09353,0.67937,5.574
4.70357,0.09407,0.68300,5.587
4.73037,0.09461,0.68671,5.595
4.75773,0.09515,0.69033,5.594
4.78472,0.09569,0.69404,5.598
4.81097,0.09622,0.69775,5.602
4.83833,0.09677,0.70149,5.604
4.86529,0.09731,0.70517,5.603
4.89259,0.09785,0.70888,5.616
4.91994,0.09840,0.71265,5.617
4.94734,0.09895,0.71638,5.621
4.97450,0.09949,0.72006,5.622
5.00198,0.10004,0.72382,5.624
5.02936,0.10059,0.72747,5.632
5.05631,0.10113,0.73120,5.617
5.08359,0.10167,0.73494,5.639
5.11129,0.10223,0.73859,5.638
5.13853,0.10277,0.74222,5.650
5.16594,0.10332,0.74589,5.646
5.19399,0.10388,0.74954,5.655
5.22153,0.10443,0.75326,5.649
5.24906,0.10498,0.75680,5.656
5.27665,0.10553,0.76060,5.654
5.30410,0.10608,0.76428,5.652
5.33129,0.10663,0.76788,5.658
5.35903,0.10718,0.77161,5.661
5.38651,0.10773,0.77542,5.661
5.41441,0.10829,0.77907,5.667
5.44233,0.10885,0.78286,5.665
5.47006,0.10940,0.78666,5.677
5.49820,0.10996,0.79035,5.691
5.52574,0.11051,0.79405,5.673
5.55385,0.11108,0.79774,5.703
5.58134,0.11163,0.80147,5.682
5.60948,0.11219,0.80514,5.692
5.63730,0.11275,0.80880,5.686
5.66533,0.11331,0.81254,5.695
5.69328,0.11387,0.81623,5.714
5.72175,0.11444,0.81991,5.700
5.74981,0.11500,0.82363,5.703
5.77786,0.11556,0.82741,5.712
5.80580,0.11612,0.83108,5.725
5.83372,0.11667,0.83481,5.711
5.86206,0.11724,0.83852,5.718
5.89016,0.11780,0.84222,5.723
5.91833,0.11837,0.84590,5.727
5.94670,0.11893,0.84961,5.722
5.97518,0.11950,0.85339,5.732
6.00350,0.12007,0.85703,5.728
6.03172,0.12063,0.86079,5.727
6.06006,0.12120,0.86451,5.735
6.08848,0.12177,0.86823,5.735
6.11652,0.12233,0.87189,5.739
6.14519,0.12290,0.87563,5.730
6.17344,0.12347,0.87939,5.743
6.20189,0.12404,0.88318,5.746
6.23086,0.12462,0.88691,5.755
6.25960,0.12519,0.89065,5.742
6.28785,0.12576,0.89439,5.752
6.31659,0.12633,0.89815,5.745
6.34539,0.12691,0.90188,5.751
6.37342,0.12747,0.90569,5.763
6.40195,0.12804,0.90937,5.769
6.43049,0.12861,0.91316,5.751
6.45948,0.12919,0.91684,5.756
6.48849,0.12977,0.92061,5.766
6.51700,0.13034,0.92435,5.765
6.54582,0.13092,0.92805,5.758
6.57453,0.13149,0.93185,5.765
6.60343,0.13207,0.93562,5.769
6.63215,0.13264,0.93934,5.771
6.66095,0.13322,0.94315,5.759
6.68981,0.13380,0.94685,5.775
6.71868,0.13437,0.95063,5.767
6.74790,0.13496,0.95441,5.765
6.77680,0.13554,0.95821,5.775
6.80582,0.13612,0.96195,5.782
6.83489,0.13670,0.96575,5.775
6.86415,0.13728,0.96951,5.767
6.89250,0.13785,0.97326,5.783
6.92153,0.13843,0.97707,5.786
6.95057,0.13901,0.98084,5.786
6.97976,0.13960,0.98472,5.789
7.00901,0.14018,0.98849,5.789
7.03824,0.14076,0.99223,5.789
7.06732,0.14135,0.99601,5.795
7.09637,0.14193,0.99971,5.789
7.12576,0.14252,1.00348,5.783
7.15481,0.14310,1.00726,5.788
7.18449,0.14369,1.01099,5.809
7.21331,0.14427,1.01479,5.804
7.24283,0.14486,1.01855,5.787
7.27188,0.14544,1.02232,5.782
7.30120,0.14602,1.02616,5.790
7.33057,0.14661,1.02989,5.804
7.36016,0.14720,1.03371,5.795
7.38903,0.14778,1.03753,5.791
7.41856,0.14837,1.04129,5.814
7.44791,0.14896,1.04500,5.792
7.47735,0.14955,1.04873,5.795
7.50683,0.15014,1.05258,5.812
7.53665,0.15073,1.05631,5.801
7.56589,0.15132,1.06003,5.810
7.59525,0.15191,1.06376,5.806
7.62458,0.15249,1.06756,5.798
7.65386,0.15308,1.07126,5.808
7.68336,0.15367,1.07491,5.796
7.71250,0.15425,1.07870,5.810
7.74232,0.15485,1.08252,5.806
7.77181,0.15544,1.08626,5.805
7.80157,0.15603,1.09000,5.797
7.83124,0.15662,1.09371,5.809
7.86055,0.15721,1.09745,5.809
7.89024,0.15780,1.10112,5.804
7.91882,0.15838,1.10479,5.809
7.94869,0.15897,1.10855,5.819
7.97786,0.15956,1.11217,5.801
8.00754,0.16015,1.11592,5.814
8.03728,0.16075,1.11965,5.812
8.06688,0.16134,1.12337,5.814
8.09647,0.16193,1.12705,5.816
8.12588,0.16252,1.13077,5.810
8.15561,0.16311,1.13449,5.821
8.18472,0.16369,1.13816,5.812
8.21419,0.16428,1.14186,5.810
8.24371,0.16487,1.14556,5.817
8.27340,0.16547,1.14923,5.811
8.30324,0.16606,1.15289,5.807
8.33278,0.16666,1.15662,5.810
8.36205,0.16724,1.16037,5.824
8.39186,0.16784,1.16402,5.820
8.42123,0.16842,1.16770,5.824
8.45016,0.16900,1.17145,5.818
8.47991,0.16960,1.17508,5.819
8.50908,0.17018,1.17882,5.817
8.53840,0.17077,1.18253,5.817
8.56813,0.17136,1.18620,5.827
8.59755,0.17195,1.18990,5.822
8.62661,0.17253,1.19358,5.821
8.65603,0.17312,1.19724,5.822
8.68505,0.17370,1.20085,5.821
8.71438,0.17429,1.20450,5.806
8.74357,0.17487,1.20812,5.816
8.77266,0.17545,1.21173,5.829
8.80194,0.17604,1.21523,5.824
8.83132,0.17663,1.21880,5.812
8.86030,0.17721,1.22247,5.827
8.88894,0.17778,1.22598,5.823
8.91799,0.17836,1.22949,5.806
8.94640,0.17893,1.23304,5.823
8.97525,0.17950,1.23667,5.815
9.00387,0.18008,1.24020,5.817
9.03250,0.18065,1.24377,5.800
9.06122,0.18122,1.24731,5.807
9.09024,0.18180,1.25080,5.821
9.11892,0.18238,1.25432,5.810
9.14698,0.18294,1.25784,5.809
9.17559,0.18351,1.26135,5.826
9.20356,0.18407,1.26477,5.815
9.23208,0.18464,1.26831,5.810
9.25991,0.18520,1.27188,5.808
9.28791,0.18576,1.27540,5.814
9.31557,0.18631,1.27879,5.814
9.34359,0.18687,1.28226,5.807
9.37135,0.18743,1.28575,5.817
9.39889,0.18798,1.28916,5.818
9.42663,0.18853,1.29257,5.817
9.45394,0.18908,1.29595,5.811
9.48046,0.18961,1.29928,5.808
9.50791,0.19016,1.30258,5.812
9.53474,0.19069,1.30594,5.812
9.56126,0.19123,1.30922,5.816
9.58793,0.19176,1.31241,5.814
9.61442,0.19229,1.31562,5.806
9.64073,0.19281,1.31885,5.805
9.66609,0.19332,1.32203,5.811
9.69204,0.19384,1.32520,5.799
9.71752,0.19435,1.32832,5.807
9.74249,0.19485,1.33146,5.804
9.76764,0.19535,1.33454,5.809
9.79243,0.19585,1.33758,5.800
9.81714,0.19634,1.34065,5.808
9.84175,0.19683,1.34367,5.806
9.86647,0.19733,1.34669,5.804
9.89100,0.19782,1.34964,5.796
9.91482,0.19830,1.35265,5.800
9.93909,0.19878,1.35562,5.795
9.96305,0.19926,1.35858,5.799
9.98632,0.19973,1.36150,5.797
10.01018,0.20020,1.36444,5.811
10.03378,0.20068,1.36730,5.799
10.05716,0.20114,1.37018,5.793
10.08091,0.20162,1.37314,5.796
10.10439,0.20209,1.37602,5.799
10.12790,0.20256,1.37881,5.789
10.15128,0.20303,1.38172,5.791
10.17460,0.20349,1.38455,5.802
